metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/percentage_discordant	NA	13.661202%	17.045455%	11.952191%	17.460317%	13.488372%	13.872832%	14.379085%	14.201183%	15.909091%	13.095238%	16.489362%	14.800000%	10.000000%	16.487455%	12.019231%	15.873016%	13.551402%	15.384615%	16.022099%	16.433566%	13.186813%	13.989637%	13.145540%	11.715481%	17.721519%	13.793103%	16.417910%	10.149254%	8.778626%	13.106796%	10.289389%	10.439560%	14.912281%	16.118421%	13.592233%	15.087719%	14.163090%	15.697674%	12.195122%	12.785388%	15.887850%	13.649852%	11.355311%	11.450382%	16.588785%	7.547170%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.578035%	0.000000%	0.000000%	4.829545%	0.000000%	0.531915%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.467290%	0.549451%	0.000000%	0.349650%	2.747253%	0.000000%	0.000000%	0.000000%	5.907173%	0.000000%	0.373134%	3.880597%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.328947%	0.000000%	0.000000%	0.858369%	0.581395%	0.609756%	0.000000%	7.009346%	0.296736%	0.366300%	0.000000%	0.467290%	0.539084%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/percentage_low_quality	NA	21.311475%	21.590909%	17.131474%	23.809524%	20.000000%	16.763006%	18.954248%	18.934911%	23.579545%	19.642857%	24.468085%	20.000000%	16.250000%	22.939068%	17.307692%	22.619048%	20.560748%	19.780220%	20.441989%	20.979021%	21.978022%	19.948187%	18.309859%	17.573222%	29.957806%	22.413793%	21.268657%	19.104478%	19.465649%	22.815534%	16.720257%	19.230769%	20.175439%	20.394737%	20.388350%	20.000000%	20.743920%	20.348837%	16.463415%	19.634703%	27.570093%	20.178042%	13.919414%	19.083969%	22.196262%	15.902965%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/percentage_spanning	NA	21.311475%	21.590909%	17.131474%	23.809524%	20.000000%	17.341040%	18.954248%	18.934911%	28.409091%	19.642857%	25.000000%	20.000000%	16.250000%	22.939068%	17.307692%	22.619048%	21.028037%	20.329670%	20.441989%	21.328671%	25.824176%	19.948187%	18.309859%	17.573222%	36.286920%	22.413793%	21.641791%	22.985075%	19.465649%	22.815534%	16.720257%	19.230769%	20.175439%	20.723684%	20.388350%	20.000000%	21.602289%	20.930233%	17.073171%	19.634703%	34.579439%	20.474777%	14.285714%	19.083969%	22.663551%	16.442049%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/phred	NA	NA	NA	NA	NA	NA	93.000000	NA	NA	4.522977	NA	93.000000	NA	NA	NA	NA	NA	93.000000	93.000000	NA	-0.000000	6.989700	NA	NA	NA	8.450980	NA	93.000000	6.368221	NA	NA	NA	NA	NA	93.000000	NA	NA	93.000000	93.000000	93.000000	NA	93.000000	-0.000000	93.000000	NA	3.010300	93.000000
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/spanning_reads	NA	39	38	43	60	43	30	29	128	100	33	47	50	26	64	36	57	45	37	37	61	47	77	39	42	86	39	58	77	51	47	52	35	46	63	42	57	151	36	28	43	74	69	39	50	97	61
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/16/total_reads	NA	183	176	251	252	215	173	153	676	352	168	188	250	160	279	208	252	214	182	181	286	182	386	213	239	237	174	268	335	262	206	311	182	228	304	206	285	699	172	164	219	214	337	273	262	428	371
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/deletion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	100.000000%	25.000000%	NA	0.000000%	NA	NA	100.000000%	NA	NA	0.000000%	NA	NA	NA	33.333333%	0.000000%	NA	NA	25.000000%	NA	0.000000%	11.111111%	NA	NA	NA	0.000000%	NA	NA	NA	NA	20.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/discordant_reads	NA	30	40	29	45	35	33	28	108	69	37	33	48	19	71	33	43	27	37	26	42	36	64	26	38	50	38	33	51	41	29	68	50	46	57	37	60	110	32	39	48	30	47	45	55	80	71
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/effective_reads	NA	0	0	0	0	0	1	0	1	8	0	1	0	0	1	0	0	2	0	0	0	3	1	0	0	8	0	1	9	0	0	0	1	0	0	0	0	5	0	0	1	7	1	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/hp_count	NA	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861	44861
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/indel_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	100.000000%	25.000000%	NA	0.000000%	NA	NA	100.000000%	NA	NA	0.000000%	NA	NA	NA	33.333333%	0.000000%	NA	NA	25.000000%	NA	0.000000%	55.555556%	NA	NA	NA	0.000000%	NA	NA	NA	NA	40.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/insertion_error_rate	NA	NA	NA	NA	NA	NA	0.000000%	NA	0.000000%	0.000000%	NA	0.000000%	NA	NA	0.000000%	NA	NA	0.000000%	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	NA	0.000000%	44.444444%	NA	NA	NA	0.000000%	NA	NA	NA	NA	20.000000%	NA	NA	0.000000%	0.000000%	0.000000%	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/low_quality_reads	NA	45	47	49	69	51	44	43	141	96	50	46	67	34	94	45	65	38	49	32	63	48	84	39	57	75	58	47	86	57	39	98	63	67	69	48	80	155	43	50	61	47	64	54	73	101	88
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/percentage_discordant	NA	49.180328%	57.142857%	40.845070%	50.561798%	38.043478%	57.894737%	43.750000%	53.465347%	46.308725%	56.923077%	51.562500%	51.612903%	40.425532%	50.714286%	47.826087%	49.425287%	45.762712%	48.684211%	56.521739%	50.000000%	53.731343%	56.140351%	45.614035%	49.350649%	36.231884%	47.500000%	54.098361%	40.800000%	57.746479%	47.540984%	53.543307%	61.728395%	52.873563%	62.637363%	59.677419%	58.252427%	49.773756%	44.444444%	56.521739%	51.612903%	31.914894%	51.648352%	60.000000%	56.701031%	58.823529%	62.831858%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	1.754386%	0.000000%	0.495050%	5.369128%	0.000000%	1.562500%	0.000000%	0.000000%	0.714286%	0.000000%	0.000000%	3.389831%	0.000000%	0.000000%	0.000000%	4.477612%	0.877193%	0.000000%	0.000000%	5.797101%	0.000000%	1.639344%	7.200000%	0.000000%	0.000000%	0.000000%	1.234568%	0.000000%	0.000000%	0.000000%	0.000000%	2.262443%	0.000000%	0.000000%	1.075269%	7.446809%	1.098901%	0.000000%	0.000000%	0.000000%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/percentage_low_quality	NA	73.770492%	67.142857%	69.014085%	77.528090%	55.434783%	77.192982%	67.187500%	69.801980%	64.429530%	76.923077%	71.875000%	72.043011%	72.340426%	67.142857%	65.217391%	74.712644%	64.406780%	64.473684%	69.565217%	75.000000%	71.641791%	73.684211%	68.421053%	74.025974%	54.347826%	72.500000%	77.049180%	68.800000%	80.281690%	63.934426%	77.165354%	77.777778%	77.011494%	75.824176%	77.419355%	77.669903%	70.135747%	59.722222%	72.463768%	65.591398%	50.000000%	70.329670%	72.000000%	75.257732%	74.264706%	77.876106%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/percentage_spanning	NA	73.770492%	67.142857%	69.014085%	77.528090%	55.434783%	78.947368%	67.187500%	70.297030%	69.798658%	76.923077%	73.437500%	72.043011%	72.340426%	67.857143%	65.217391%	74.712644%	67.796610%	64.473684%	69.565217%	75.000000%	76.119403%	74.561404%	68.421053%	74.025974%	61.594203%	72.500000%	78.688525%	76.000000%	80.281690%	63.934426%	77.165354%	79.012346%	77.011494%	75.824176%	77.419355%	77.669903%	72.850679%	59.722222%	72.463768%	66.666667%	57.446809%	71.428571%	72.000000%	75.257732%	74.264706%	77.876106%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/phred	NA	NA	NA	NA	NA	NA	93.000000	NA	-0.000000	6.020600	NA	93.000000	NA	NA	-0.000000	NA	NA	93.000000	NA	NA	NA	4.771213	93.000000	NA	NA	6.020600	NA	93.000000	2.552725	NA	NA	NA	93.000000	NA	NA	NA	NA	3.979400	NA	NA	93.000000	93.000000	93.000000	NA	NA	NA	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/spanning_reads	NA	45	47	49	69	51	45	43	142	104	50	47	67	34	95	45	65	40	49	32	63	51	85	39	57	85	58	48	95	57	39	98	64	67	69	48	80	161	43	50	62	54	65	54	73	101	88
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/17/total_reads	NA	61	70	71	89	92	57	64	202	149	65	64	93	47	140	69	87	59	76	46	84	67	114	57	77	138	80	61	125	71	61	127	81	87	91	62	103	221	72	69	93	94	91	75	97	136	113
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/deletion_error_rate	NA	NA	NA	NA	0.000000%	NA	0.000000%	NA	0.000000%	11.111111%	NA	100.000000%	NA	NA	50.000000%	NA	NA	0.000000%	NA	NA	NA	100.000000%	NA	100.000000%	NA	37.500000%	NA	100.000000%	40.000000%	NA	NA	0.000000%	NA	NA	NA	NA	NA	25.000000%	100.000000%	NA	NA	16.666667%	25.000000%	NA	NA	NA	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/discordant_reads	NA	40	39	50	52	61	31	36	140	58	31	41	58	31	73	51	54	43	49	27	66	32	91	45	56	45	41	47	66	52	49	67	30	68	64	54	48	136	38	27	59	35	77	60	54	97	79
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/effective_reads	NA	0	0	0	1	0	2	0	1	9	0	2	0	0	2	0	0	3	0	0	0	2	0	1	0	8	0	1	5	0	0	1	0	0	0	0	0	4	1	0	0	6	4	0	0	0	1
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	2	0	1	0	3	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/effective_reads_with_insertion	NA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/effective_reads_with_substitution	NA	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/hp_count	NA	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056	36056
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/indel_error_rate	NA	NA	NA	NA	100.000000%	NA	0.000000%	NA	0.000000%	11.111111%	NA	100.000000%	NA	NA	50.000000%	NA	NA	33.333333%	NA	NA	NA	100.000000%	NA	100.000000%	NA	37.500000%	NA	100.000000%	60.000000%	NA	NA	0.000000%	NA	NA	NA	NA	NA	25.000000%	100.000000%	NA	NA	16.666667%	75.000000%	NA	NA	NA	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/insertion_error_rate	NA	NA	NA	NA	100.000000%	NA	0.000000%	NA	0.000000%	0.000000%	NA	0.000000%	NA	NA	0.000000%	NA	NA	33.333333%	NA	NA	NA	0.000000%	NA	0.000000%	NA	0.000000%	NA	0.000000%	20.000000%	NA	NA	0.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	NA	0.000000%	50.000000%	NA	NA	NA	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/low_quality_reads	NA	59	50	66	70	70	44	49	193	83	48	55	75	46	97	55	78	64	66	34	89	52	120	68	72	58	60	70	92	73	67	99	43	87	85	72	68	201	45	34	72	50	103	76	77	115	99
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/percentage_discordant	NA	45.454545%	50.000000%	52.083333%	51.485149%	58.653846%	46.969697%	50.704225%	49.295775%	40.559441%	44.927536%	50.617284%	47.933884%	46.969697%	51.773050%	69.863014%	50.467290%	46.739130%	53.260870%	47.368421%	50.769231%	38.554217%	57.232704%	47.368421%	55.445545%	37.815126%	49.397590%	46.078431%	49.624060%	49.523810%	50.000000%	45.578231%	43.478261%	54.400000%	52.892562%	53.465347%	46.153846%	49.454545%	52.777778%	45.000000%	56.730769%	40.697674%	50.657895%	55.045872%	47.787611%	56.395349%	52.317881%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/percentage_effective	NA	0.000000%	0.000000%	0.000000%	0.990099%	0.000000%	3.030303%	0.000000%	0.352113%	6.293706%	0.000000%	2.469136%	0.000000%	0.000000%	1.418440%	0.000000%	0.000000%	3.260870%	0.000000%	0.000000%	0.000000%	2.409639%	0.000000%	1.052632%	0.000000%	6.722689%	0.000000%	0.980392%	3.759398%	0.000000%	0.000000%	0.680272%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	1.454545%	1.388889%	0.000000%	0.000000%	6.976744%	2.631579%	0.000000%	0.000000%	0.000000%	0.662252%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/percentage_low_quality	NA	67.045455%	64.102564%	68.750000%	69.306931%	67.307692%	66.666667%	69.014085%	67.957746%	58.041958%	69.565217%	67.901235%	61.983471%	69.696970%	68.794326%	75.342466%	72.897196%	69.565217%	71.739130%	59.649123%	68.461538%	62.650602%	75.471698%	71.578947%	71.287129%	48.739496%	72.289157%	68.627451%	69.172932%	69.523810%	68.367347%	67.346939%	62.318841%	69.600000%	70.247934%	71.287129%	65.384615%	73.090909%	62.500000%	56.666667%	69.230769%	58.139535%	67.763158%	69.724771%	68.141593%	66.860465%	65.562914%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/percentage_spanning	NA	67.045455%	64.102564%	68.750000%	70.297030%	67.307692%	69.696970%	69.014085%	68.309859%	64.335664%	69.565217%	70.370370%	61.983471%	69.696970%	70.212766%	75.342466%	72.897196%	72.826087%	71.739130%	59.649123%	68.461538%	65.060241%	75.471698%	72.631579%	71.287129%	55.462185%	72.289157%	69.607843%	72.932331%	69.523810%	68.367347%	68.027211%	62.318841%	69.600000%	70.247934%	71.287129%	65.384615%	74.545455%	63.888889%	56.666667%	69.230769%	65.116279%	70.394737%	69.724771%	68.141593%	66.860465%	66.225166%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/phred	NA	NA	NA	NA	-0.000000	NA	93.000000	NA	93.000000	9.542425	NA	-0.000000	NA	NA	3.010300	NA	NA	4.771213	NA	NA	NA	-0.000000	NA	-0.000000	NA	4.259687	NA	-0.000000	2.218487	NA	NA	93.000000	NA	NA	NA	NA	NA	6.020600	-0.000000	NA	NA	7.781513	1.249387	NA	NA	NA	93.000000
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/spanning_reads	NA	59	50	66	71	70	46	49	194	92	48	57	75	46	99	55	78	67	66	34	89	54	120	69	72	66	60	71	97	73	67	100	43	87	85	72	68	205	46	34	72	56	107	76	77	115	100
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/18/total_reads	NA	88	78	96	101	104	66	71	284	143	69	81	121	66	141	73	107	92	92	57	130	83	159	95	101	119	83	102	133	105	98	147	69	125	121	101	104	275	72	60	104	86	152	109	113	172	151
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/deletion_error_rate	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	83.333333%	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	0.000000%	20.000000%	NA	NA	42.857143%	NA	NA	100.000000%	NA	NA	NA	NA	NA	0.000000%	0.000000%	NA	0.000000%	100.000000%	0.000000%	NA	NA	0.000000%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/discordant_reads	NA	47	52	69	76	64	34	32	133	65	53	48	63	41	74	56	74	63	36	38	63	56	88	59	74	50	45	45	71	56	48	66	47	79	58	53	55	167	41	38	80	49	92	57	63	99	105
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/effective_reads	NA	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	3	0	0	3	5	0	0	7	0	0	1	0	0	0	0	0	2	1	0	1	1	2	0	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/effective_reads_with_deletion	NA	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/effective_reads_with_insertion	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/effective_reads_with_substitution	NA	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/hp_count	NA	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594	30594
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/indel_error_rate	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	83.333333%	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	0.000000%	20.000000%	NA	NA	85.714286%	NA	NA	100.000000%	NA	NA	NA	NA	NA	50.000000%	0.000000%	NA	0.000000%	100.000000%	0.000000%	NA	NA	100.000000%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/insertion_error_rate	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	NA	NA	NA	NA	0.000000%	NA	NA	NA	0.000000%	NA	NA	0.000000%	0.000000%	NA	NA	42.857143%	NA	NA	0.000000%	NA	NA	NA	NA	NA	50.000000%	0.000000%	NA	0.000000%	0.000000%	0.000000%	NA	NA	100.000000%	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/low_quality_reads	NA	63	73	94	97	83	46	43	191	92	67	60	96	58	93	68	103	79	47	46	85	67	106	76	96	62	66	69	100	83	67	98	66	100	77	81	77	220	55	53	110	67	122	79	80	135	130
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/mean_effective_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/mean_spanning_coverage	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/percentage_discordant	NA	44.761905%	50.000000%	55.200000%	59.842520%	58.715596%	46.575342%	44.444444%	45.238095%	41.139241%	53.535354%	56.470588%	45.000000%	55.405405%	53.623188%	58.333333%	52.857143%	55.263158%	52.173913%	48.717949%	52.500000%	54.368932%	50.000000%	52.678571%	54.814815%	43.859649%	47.872340%	45.918367%	45.222930%	44.094488%	47.524752%	45.517241%	52.222222%	54.861111%	52.727273%	50.000000%	48.245614%	53.184713%	43.617021%	54.285714%	55.555556%	44.144144%	54.437870%	50.892857%	49.606299%	48.058252%	48.837209%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/percentage_effective	NA	0.000000%	0.000000%	0.800000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	3.797468%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	2.631579%	0.000000%	0.000000%	0.000000%	2.912621%	0.000000%	0.000000%	2.222222%	4.385965%	0.000000%	0.000000%	4.458599%	0.000000%	0.000000%	0.689655%	0.000000%	0.000000%	0.000000%	0.000000%	0.000000%	0.636943%	1.063830%	0.000000%	0.694444%	0.900901%	1.183432%	0.000000%	0.000000%	0.485437%	0.000000%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/percentage_low_quality	NA	60.000000%	70.192308%	75.200000%	76.377953%	76.146789%	63.013699%	59.722222%	64.965986%	58.227848%	67.676768%	70.588235%	68.571429%	78.378378%	67.391304%	70.833333%	73.571429%	69.298246%	68.115942%	58.974359%	70.833333%	65.048544%	60.227273%	67.857143%	71.111111%	54.385965%	70.212766%	70.408163%	63.694268%	65.354331%	66.336634%	67.586207%	73.333333%	69.444444%	70.000000%	76.415094%	67.543860%	70.063694%	58.510638%	75.714286%	76.388889%	60.360360%	72.189349%	70.535714%	62.992126%	65.533981%	60.465116%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/percentage_spanning	NA	60.000000%	70.192308%	76.000000%	76.377953%	76.146789%	63.013699%	59.722222%	64.965986%	62.658228%	67.676768%	70.588235%	68.571429%	78.378378%	67.391304%	70.833333%	73.571429%	71.929825%	68.115942%	58.974359%	70.833333%	67.961165%	60.227273%	67.857143%	73.333333%	58.771930%	70.212766%	70.408163%	68.152866%	65.354331%	66.336634%	68.275862%	73.333333%	69.444444%	70.000000%	76.415094%	67.543860%	70.700637%	59.574468%	75.714286%	77.083333%	62.162162%	73.372781%	70.535714%	62.992126%	66.019417%	60.465116%
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/phred	NA	NA	NA	93.000000	NA	NA	NA	NA	NA	0.791812	NA	NA	NA	NA	NA	NA	NA	93.000000	NA	NA	NA	93.000000	NA	NA	93.000000	6.989700	NA	NA	0.669468	NA	NA	-0.000000	NA	NA	NA	NA	NA	3.010300	93.000000	NA	93.000000	-0.000000	93.000000	NA	NA	-0.000000	NA
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/spanning_reads	NA	63	73	95	97	83	46	43	191	99	67	60	96	58	93	68	103	82	47	46	85	70	106	76	99	67	66	69	107	83	67	99	66	100	77	81	77	222	56	53	111	69	124	79	80	136	130
alignment_metrics/deduped_autosomes/accuracy/hp_errors/any/19/total_reads	NA	105	104	125	127	109	73	72	294	158	99	85	140	74	138	96	140	114	69	78	120	103	176	112	135	114	94	98	157	127	101	145	90	144	110	106	114	314	94	70	144	111	169	112	127	206	215
